#ClinGen Gene Curation Results
#26 Dec,2024
#Genomic Locations are reported on chm13 (hs1): GCA_009914755.4
#https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen
#to create link: https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=Gene Symbol
#Gene Symbol	Gene ID	cytoBand	Genomic Location	Haploinsufficiency Score	Haploinsufficiency Description	Haploinsufficiency PMID1	Haploinsufficiency PMID2	Haploinsufficiency PMID3	Haploinsufficiency PMID4	Haploinsufficiency PMID5	Haploinsufficiency PMID6	Triplosensitivity Score	Triplosensitivity Description	Triplosensitivity PMID1	Triplosensitivity PMID2	Triplosensitivity PMID3	Triplosensitivity PMID4	Triplosensitivity PMID5	Triplosensitivity PMID6	Date Last Evaluated	Haploinsufficiency Disease ID	Triplosensitivity Disease ID
COL5A1	1289	9q34.3	chr9:146859174-147065950	3	Sufficient evidence for dosage pathogenicity	10777716	8673139	10796876				0	No evidence available							2017-12-14	MONDO:0019567	
COL6A5	256076	3q22.1	chr3:133089523-133228816	40	Dosage sensitivity unlikely	32487729	26940866	28406212	25807282	32461654		0	No evidence available							2021-02-02		
COL7A1	1294	3p21.31	chr3:48593030-48624289	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2023-02-08		
COL9A1	1297	6q13	chr6:71396599-71483638	0	No evidence available							0	No evidence available							2013-11-06	MONDO:0013591	
COL9A2	1298	1p34.2	chr1:40169995-40187320	0	No evidence available							0	No evidence available							2013-10-09		
COLEC11	78989	2p25.3	chr2:3617576-3667536	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009927	
COLQ	8292	3p25.1	chr3:15452540-15524153	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0011281	
COQ2	27235	4q21.22-q21.23	chr4:86591628-86615010	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0011829	
CORO1A	11151	16p11.2	chr16:30467409-30473658	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0014168	
COX10	1352	17p12	chr17:13977300-14139502	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009723	
COX15	1355	10q24.2	chr10:100593857-100615117	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0014051	
COX20	116228	1q44	chr1:244251921-244261362	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0044970	
COX6B1	1340	19q13.12	chr19:38193302-38203762	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0044970	
CP	1356	3q24-q25.1	chr3:151913150-151972585	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0011426	
CPA4	51200	7q32.2	chr7:131606518-131637922	0	No evidence available							0	No evidence available							2012-07-25		
CPA6	57094	8q13.2	chr8:67848501-68172813	0	No evidence available							0	No evidence available							2019-09-04		
CPLANE1	65250	5p13.2	chr5:37356061-37499181	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013824	
CPN1	1369	10q24.2	chr10:100925921-100965601	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0008910	
CPS1	1373	2q34	chr2:210958479-211159839	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009376	
CPT1A	1374	11q13.3	chr11:68760743-68850530	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009705	
CRADD	8738	12q22	chr12:93658870-93876341	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013785	
CREBBP	1387	16p13.3	chr16:3752324-3907918	3	Sufficient evidence for dosage pathogenicity	17473832	20717166	18792986 18792986 20689175 30892814 30633342				0	No evidence available	19833603						2019-10-23	MONDO:0008393	
CRHR1	1394	17q21.31	chr17:46645908-46697461	0	No evidence available							0	No evidence available							2012-07-06		
CRIPT	9419	2p21	chr2:46621408-46635170	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0014347	
CRKL	1399	22q11.21	chr22:21326128-21362450	1	Little evidence for dosage pathogenicity	28121514						0	No evidence available							2020-04-13		
CRPPA	729920	7p21.2	chr7:16220757-16632215	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0018276	
CRTAP	10491	3p22.3	chr3:33115771-33149528	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0012536	
CRYBA1	1411	17q11.2	chr17:30189627-30197262	0	No evidence available							0	No evidence available							2013-06-06		
CRYBB2	1415	22q11.23	chr22:25673762-25693034	0	No evidence available							0	No evidence available							2023-01-10		
CRYGC	1420	2q33.3	chr2:208608155-208609846	0	No evidence available							0	No evidence available							2013-05-22		
CSF2RB	1439	22q12.3	chr22:37372586-37399383	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0013712	
CSMD1	64478	8p23.2	chr8:2689254-4747765	1	Little evidence for dosage pathogenicity	2165858	28934986					0	No evidence available							2024-10-08	MONDO:0100038	
CSNK2A1	1457	20p13	chr20:516232-587539	1	Little evidence for dosage pathogenicity	27048600	30655572	38444259	37195306	33944995	35221879	0	No evidence available							2024-06-26	MONDO:0000508	
CSPP1	79848	8q13.1-q13.2	chr8:67488883-67623238	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0014288	
CSTB	1476	21q22.3	chr21:42128123-42131942	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009698	
CTC1	80169	17p13.1	chr17:8131045-8154277	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2019-10-08	MONDO:0024564	
CTCF	10664	16q22.1	chr16:73357234-73433946	3	Sufficient evidence for dosage pathogenicity	23746550	30893510	31239556	25363768	33004838		0	No evidence available							2021-09-22	MONDO:0000508	
CTDP1	9150	18q23	chr18:79953601-80029701	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0011402	
CTH	1491	1p31.1	chr1:70289725-70318361	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009058	
CTNNA1	1495	5q31.2	chr5:139137186-139461169	3	Sufficient evidence for dosage pathogenicity	32051609	29330337	33326660	26182300	28724667	23208944	0	No evidence available							2022-10-12	MONDO:0018502	
CTNNA3	29119	10q21.3	chr10:66775598-68632088	0	No evidence available	23375656	21658582	20427753				0	No evidence available	23632794	23375656					2018-10-24	MONDO:0100038	
CTNNB1	1499	3p22.1	chr3:41210140-41275487	3	Sufficient evidence for dosage pathogenicity	27915094	23033978	25326669				0	No evidence available							2017-11-22	MONDO:0014035	
CTNND2	1501	5p15.2	chr5:10909469-11841846	1	Little evidence for dosage pathogenicity	25106414	25807484	25473103	23375656	25839933	31814264	0	No evidence available							2021-10-12	MONDO:0100038	
CTNS	1497	17p13.2	chr17:3525524-3552155	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-08-22	MONDO:0100151	
CTSB	1508	8p23.1	chr8:7870766-7897789	0	No evidence available							0	No evidence available							2012-02-08		
CUBN	8029	10p13	chr10:16842423-17148343	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0100156	
CUL4B	8450	Xq24	chrX:118881384-118979528	3	Sufficient evidence for dosage pathogenicity	17236139	17273978	22182342	26350204			0	No evidence available							2021-02-09	MONDO:0010306	
CYB5A	1528	18q22.3	chr18:74478400-74519523	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009605	
CYBB	1536	Xp21.1-p11.4	chrX:37183630-37217034	3	Sufficient evidence for dosage pathogenicity							0	No evidence available							2020-05-27	MONDO:0010600	
CYLD	1540	16q12.1	chr16:56539691-56599616	3	Sufficient evidence for dosage pathogenicity	10835629	15854031	20132422				0	No evidence available							2021-02-10	MONDO:0011512	
CYP21A2	1589	6p21.33	chr6:31900808-31900826	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-07-06	MONDO:0008728	
CYP24A1	1591	20q13.2	chr20:55927759-55948320	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0020739	
CYP27A1	1593	2q35	chr2:219268306-219301851	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0008948	
CYP3A43	64816	7q22.1	chr7:101067527-101105604	40	Dosage sensitivity unlikely	32487729	22344438	25807282	32461654			0	No evidence available							2021-02-02		
CYP4F22	126410	19p13.12	chr19:15633518-15677350	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0011485	
CYP4V2	285440	4q35.1-q35.2	chr4:189531931-189553879	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0008865	
D2HGDH	728294	2q37.3	chr2:242238624-242271346	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0024554	
DARS2	55157	1q25.1	chr1:173182817-173216927	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0012622	
DAZ1	1617	Yq11.223	chrY:25571713-25641374	0	No evidence available							0	No evidence available							2012-10-17		
DBH	1621	9q34.2	chr9:145852365-145875347	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009123	
DBT	1629	1p21.2	chr1:100035014-100097802	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009563	
DCHS1	8642	11p15.4	chr11:6679797-6714267	1	Little evidence for dosage pathogenicity	26258302						0	No evidence available							2018-08-31		
DCLRE1C	64421	10p13	chr10:14911323-14968389	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0011225	
DCX	1641	Xq23	chrX:109741985-109860645	3	Sufficient evidence for dosage pathogenicity	9489700						0	No evidence available							2012-07-06	MONDO:0010239	
DCXR	51181	17q25.3	chr17:82902294-82904867	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009846	
DDB2	1643	11p11.2	chr11:47371216-47395960	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0010213	
DDHD1	80821	14q22.1	chr14:47244721-47361295	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2014-09-25	MONDO:0012256	
DDOST	1650	1p36.12	chr1:20477969-20487731	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013789	
DDX3X	1654	Xp11.4	chrX:40735433-40766556	3	Sufficient evidence for dosage pathogenicity	26235985	27159028	28327206				0	No evidence available							2017-11-22	MONDO:0010497	
DDX41	51428	5q35.3	chr5:178054559-178059943	3	Sufficient evidence for dosage pathogenicity	25920683	31484648	30963592	33585199	32868804	32098966	0	No evidence available							2022-02-09	MONDO:0014809	
DGKE	8526	17q22	chr17:57711339-57746838	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0014005	
DGUOK	1716	2p13.1	chr2:73935293-73967418	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009636	
DHCR7	1717	11q13.4	chr11:71355140-71379823	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-04-04	MONDO:0010035	
DHODH	1723	16q22.2	chr16:77826647-77845699	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009903	
DHX57	90957	2p22.1	chr2:38806517-38884420	0	No evidence available	25363760	28263302					0	No evidence available							2018-06-28		
DICER1	23405	14q32.13	chr14:89316445-89388228	3	Sufficient evidence for dosage pathogenicity	26925222	19556464	21266384	25118636	28624956	22180160	0	No evidence available							2022-02-09	MONDO:0100216	
DIP2A	23181	21q22.3	chr21:44845016-44956225	1	Little evidence for dosage pathogenicity	18521840	25363768	24643514				0	No evidence available							2019-01-23	MONDO:0100038	
DIRAS3	9077	1p31.3	chr1:67923347-67929090	0	No evidence available							0	No evidence available							2011-10-19		
DIS3L2	129563	2q37.1	chr2:232447874-232831055	1	Little evidence for dosage pathogenicity	25670083	31350202	26822237				0	No evidence available							2020-10-14	MONDO:0009965	
DISC1	27185	1q42.2	chr1:231009996-231426811	0	No evidence available							0	No evidence available							2012-03-06		
DISP1	84976	1q41	chr1:222048771-222239862	0	No evidence available							0	No evidence available							2012-07-06		
DKC1	1736	Xq28	chrX:152999152-153014101	1	Little evidence for dosage pathogenicity	18627054						0	No evidence available							2023-06-14	MONDO:0100152	
DLG2	1740	11q14.1	chr11:83391509-85564599	1	Little evidence for dosage pathogenicity	21792059	25055870	18511947				0	No evidence available							2018-11-28	MONDO:0100038	
DLG3	1741	Xq13.1	chrX:68878160-68938810	3	Sufficient evidence for dosage pathogenicity	15185169	19795139	24721225	32021600	25644381		0	No evidence available							2024-04-25	MONDO:0019181	
DLG4	1742	17p13.1	chr17:7088092-7120752	3	Sufficient evidence for dosage pathogenicity	33597769						0	No evidence available							2023-10-10	MONDO:0100038	
DLGAP2	9228	8p23.3	chr8:529208-1487141	0	No evidence available							0	No evidence available							2012-03-22		
DLK1	8788	14q32.2	chr14:94960618-94973139	0	No evidence available							0	No evidence available							2012-04-28		
DLL1	28514	6q27	chr6:171640900-171665253	3	Sufficient evidence for dosage pathogenicity	31353024	22542183					0	No evidence available							2021-03-09	MONDO:0032877	
DLX1	1745	2q31.1	chr2:172570983-172575920	0	No evidence available							0	No evidence available							2012-03-30		
DLX2	1746	2q31.1	chr2:172585681-172589143	0	No evidence available							0	No evidence available							2012-01-19		
DLX5	1749	7q21.3	chr7:98250072-98254621	0	No evidence available							0	No evidence available							2012-05-14	MONDO:0009080	
DLX6	1750	7q21.3	chr7:98235210-98240696	0	No evidence available							0	No evidence available							2012-05-14	MONDO:0009080	
DMD	1756	Xp21.2-p21.1	chrX:30695824-32937721	3	Sufficient evidence for dosage pathogenicity							0	No evidence available							2019-11-20	MONDO:0010679	
DMP1	1758	4q22.1	chr4:90976706-90990761	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009430	
DMRT1	1761	9p24.3	chr9:842197-970359	1	Little evidence for dosage pathogenicity	20685758	22573722	23555275	32741963			0	No evidence available							2023-11-10	MONDO:0002145	
DMRT2	10655	9p24.3	chr9:1051527-1059221	0	No evidence available							0	No evidence available							2012-08-22		
DMXL2	23312	15q21.2	chr15:49255486-49430286	0	No evidence available							0	No evidence available							2012-04-04		
DNAAF1	123872	16q24.1	chr16:90211370-90244840	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013174	
DNAH11	8701	7p15.3	chr7:21679184-22038139	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0012748	
DNAH5	1767	5p15.2	chr5:13627358-13948822	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0012085	
DNAI1	27019	9p13.3	chr9:34475935-34539526	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009484	
DNAI2	64446	17q25.1	chr17:75165034-75205531	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0012906	
DNAJB6	10049	7q36.3	chr7:158523225-158605388	0	No evidence available							0	No evidence available							2012-10-29		
DNAJC21	134218	5p13.2	chr5:35176588-35205995	1	Little evidence for dosage pathogenicity	26822949						0	No evidence available							2020-10-14	MONDO:0014887	
DNAJC28	54943	21q22.11	chr21:31867362-31873548	40	Dosage sensitivity unlikely	32487729	22344438	25807282	32461654			0	No evidence available							2021-02-02		
DNAJC6	9829	1p31.3	chr1:65126213-65293848	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0014231	
DNASE1	1773	16p13.3	chr16:3638997-3707410	0	No evidence available							0	No evidence available							2012-02-22		
DNM1	1759	9q34.11	chr9:140398725-140462362	30	Gene associated with autosomal recessive phenotype	34172529	36553519					0	No evidence available							2023-08-08	MONDO:0100062	
DNMT3A	1788	2p23.3	chr2:25263203-25377928	3	Sufficient evidence for dosage pathogenicity	24614070	29900417	31685998				0	No evidence available							2024-09-25	MONDO:0014382	
DOCK7	85440	1p31.3	chr1:62332885-62566591	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0014371	
DOCK8	81704	9p24.3	chr9:208881-464928	30	Gene associated with autosomal recessive phenotype							0	No evidence available	32185055						2023-06-14	MONDO:0009478	
DOK7	285489	4p16.3	chr4:3463090-3501231	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009690	
DPAGT1	1798	11q23.3	chr11:119116408-119128712	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0015286	
DPM1	8813	20q13.13	chr20:52705466-52729743	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0012123	
DPM3	54344	1q22	chr1:154279249-154279953	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2015-04-08	MONDO:0013049	
DPP6	1804	7q36.2	chr7:155061696-156069555	1	Little evidence for dosage pathogenicity	23832105	18252227	30874922				0	No evidence available							2019-06-26	MONDO:0014580	
DPYD	1806	1p21.3	chr1:96925834-97842839	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2018-01-23	MONDO:0010130	
DPYS	1807	8q22.3	chr8:105457860-105594550	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009111	
DRD5	1816	4p16.1	chr4:9781407-9783782	0	No evidence available							0	No evidence available							2012-05-15		
DSC2	1824	18q12.1	chr18:31249110-31292772	1	Little evidence for dosage pathogenicity	17186466	17033975		29178656	31386562	33684294	0	No evidence available							2024-04-24	MONDO:0012506	
DSC3	1825	18q12.1	chr18:31179590-31233081	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0013136	
DSCAM	1826	21q22.2	chr21:38398213-39235595	2	Some evidence for dosage pathogenicity	27824329	25363768	25363760	33004838	34312540		0	No evidence available							2023-10-10	MONDO:0005258	
DSE	29940	6q22.1	chr6:117438154-117628566	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0014236	
DSG2	1829	18q12.1	chr18:31688704-31739535	2	Some evidence for dosage pathogenicity	21397041	17105751	16773573	31638835	29606362	16505173	0	No evidence available							2022-12-13	MONDO:0012434	
DSG4	147409	18q12.1	chr18:31567308-31605441	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0011932	
DSP	1832	6p24.3	chr6:7410657-7455759	3	Sufficient evidence for dosage pathogenicity	31514951	27532257	24503780	23810894	20716751	31319917	0	No evidence available							2021-10-12	MONDO:0005021	
DSPP	1834	4q22.1	chr4:90935096-90943283	0	No evidence available							0	No evidence available							2013-03-27		
DYM	54808	18q21.1	chr18:49231816-49659085	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-02-23	MONDO:0016761	
DYNC1H1	1778	14q32.31	chr14:96200188-96292054	0	No evidence available							0	No evidence available							2023-11-14	MONDO:0018894	
DYNC2H1	79659	11q22.3	chr11:103113137-103483765	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0013127	
DYNC2I1	55112	7q36.3	chr7:160080252-160181556	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0014214	
DYRK1A	1859	21q22.13	chr21:35747888-35908739	3	Sufficient evidence for dosage pathogenicity	22495309	21294719	25944381				0	No evidence available							2020-12-16	MONDO:0013578	
EARS2	124454	16p12.2	chr16:23796546-23833530	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013971	
EBF3	253738	10q26.3	chr10:130762552-130900245	3	Sufficient evidence for dosage pathogenicity	28017373	28017370	35340043	37090941			0	No evidence available	34999443						2023-12-06	MONDO:0015021	
EBP	10682	Xp11.23	chrX:47930811-47937730	3	Sufficient evidence for dosage pathogenicity	11038443	12509714	10942423				0	No evidence available							2020-01-22	MONDO:0020603	
EDA	1896	Xq13.1	chrX:68049480-68472825	3	Sufficient evidence for dosage pathogenicity	18510547	17568423	9683615	18666859		21457804	0	No evidence available							2023-01-25	MONDO:0010585	
EDNRB	1910	13q22.3	chr13:77120403-77200429	1	Little evidence for dosage pathogenicity	10528251	30394532	28236341	32990402	31427586		0	No evidence available							2022-02-07	MONDO:0010192	
EEF1A2	1917	20q13.33	chr20:65299507-65311921	0	No evidence available							0	No evidence available							2023-06-13		
EFCAB13	124989	17q21.32	chr17:48185669-48303979	40	Dosage sensitivity unlikely	32487729	26940866	25807282	28406212	32461654		0	No evidence available							2021-02-02		
EFL1	79631	15q25.2	chr15:79994284-80126851	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2022-04-13	MONDO:0009833	
EFTUD2	9343	17q21.31	chr17:45703842-45753329	3	Sufficient evidence for dosage pathogenicity	22305528	23188108					0	No evidence available							2013-05-23	MONDO:0012516	
EGFR	1956	7p11.2	chr7:55178937-55372056	0	No evidence available	25606410						0	No evidence available							2022-05-11		
EGR2	1959	10q21.3	chr10:63670139-63778070	0	No evidence available							0	No evidence available							2011-11-28		
EIF2AK3	9451	2p11.2	chr2:88568747-88703515	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009192	
EIF2B1	1967	12q24.31	chr12:123619272-123632630	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0800439	
EIF2B3	8891	1p34.1	chr1:44721756-44858324	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0800439	
EIF4A3	9775	17q25.3	chr17:81034760-81047546	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009998	
ELANE	1991	19p13.3	chr19:807122-812356	1	Little evidence for dosage pathogenicity	10581030	19415009	21425445	23463630	31427279		0	No evidence available							2022-07-13	MONDO:0018542	
ELAVL2	1993	9p21.3	chr9:23696100-23832317	1	Little evidence for dosage pathogenicity	25055870						0	No evidence available							2018-11-28	MONDO:0100038	
ELK1	2002	Xp11.23	chrX:47045422-47060507	0	No evidence available							0	No evidence available							2012-09-26		
ELN	2006	7q11.23	chr7:75230925-75273042	3	Sufficient evidence for dosage pathogenicity							0	No evidence available							2012-07-10	MONDO:0008504	
EMX2	2018	10q26.11	chr10:118436835-118443925	1	Little evidence for dosage pathogenicity	8528262	9359037	18409201	20157829	17506092	25577462	0	No evidence available							2021-11-09	MONDO:0010011	
EN2	2020	7q36.3	chr7:156638709-156645413	0	No evidence available							0	No evidence available							2012-08-26		
ENG	2022	9q34.11	chr9:140022432-140062072	3	Sufficient evidence for dosage pathogenicity	9245986	9366572; 10545596; 10749981	15879500	23399955; 35487791			0	No evidence available							2024-01-11	MONDO:0008535	
ENO3	2027	17p13.2	chr17:4838440-4847445	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0013046	
ENPP1	5167	6q23.2	chr6:133002958-133090181	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013219	
EP300	2033	22q13.2	chr22:41567504-41655012	3	Sufficient evidence for dosage pathogenicity	15706485	19353645					0	No evidence available							2013-03-14	MONDO:0013364	
EPB42	2038	15q15.2	chr15:41004516-41028309	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0012985	
EPM2A	7957	6q24.3	chr6:146576801-146929078	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009697	
EPS8	2059	12p12.3	chr12:15497359-15759585	30	Gene associated with autosomal recessive phenotype	24741995	27344577					0	No evidence available							2018-02-07	MONDO:0014428	
ERBB4	2066	2q34	chr2:211856201-213019484	1	Little evidence for dosage pathogenicity	23275889	23375656	23633123	33603162	35441737		0	No evidence available							2024-10-23	MONDO:0100038	
ERCC1	2067	19q13.32	chr19:48234581-48306077	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0012554	
ERCC2	2068	19q13.32	chr19:48177079-48198156	30	Gene associated with autosomal recessive phenotype							40	Dosage sensitivity unlikely							2023-06-13	MONDO:0010212	
ERCC3	2071	2q14.3	chr2:127692506-127729390	30	Gene associated with autosomal recessive phenotype	27655433	28202063					0	No evidence available							2020-06-30	MONDO:0012531	
ERCC4	2072	16p13.12	chr16:13957377-13989586	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2023-08-09		
ERCC5	2073	13q33.1	chr13:102064027-102094203	30	Gene associated with autosomal recessive phenotype							40	Dosage sensitivity unlikely							2016-08-22	MONDO:0010216	
ERCC6L2	375748	9q22.32	chr9:108042643-108292505	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0014317	
ERCC8	1161	5q12.1	chr5:61682823-61761464	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0019569	
ERF	2077	19q13.2	chr19:45066943-45074502	3	Sufficient evidence for dosage pathogenicity	30758909	23354439	26097063	29215649			0	No evidence available							2021-06-08	MONDO:0010929	
ERMARD	55780	6q27	chr6:171105552-171135403	1	Little evidence for dosage pathogenicity	24056535						0	No evidence available							2013-11-13		
ESCO2	157570	8p21.1	chr8:28049319-28090012	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0100253	
ESPN	83715	1p36.31	chr1:5950417-5987009	30	Gene associated with autosomal recessive phenotype	15286153	18973245					0	No evidence available							2018-02-07	MONDO:0012170	
ETFB	2109	19q13.41	chr19:54433453-54455031	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0009282	
ETFDH	2110	4q32.1	chr4:162022716-162061491	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	MONDO:0009282	
ETV6	2120	12p13.2	chr12:11518944-11764496	3	Sufficient evidence for dosage pathogenicity	26522332	30940639	26102509	27365488	25807284	28104920	0	No evidence available							2023-01-11	OMIM:616216	
EVC2	132884	4p16.2	chr4:5512212-5681203	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2013-07-18	MONDO:0009162	
EVX2	344191	2q31.1	chr2:176565581-176572026	0	No evidence available							0	No evidence available							2012-04-04		
EXO5	64789	1p34.2	chr1:40377922-40385218	40	Dosage sensitivity unlikely	32487729	25807282	32461654				0	No evidence available							2021-02-02		
EXOSC3	51010	9p13.2	chr9:37782945-37856022	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0013853	
EXPH5	23086	11q22.3	chr11:108512926-108601292	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	MONDO:0014014	
EXT1	2131	8q24.11	chr8:118922893-119240285	3	Sufficient evidence for dosage pathogenicity	29529714	30334991	28690282				0	No evidence available							2020-06-17	MONDO:0007585	
EXT2	2132	11p11.2	chr11:44250995-44407303	3	Sufficient evidence for dosage pathogenicity	29529714	30334991	28690282				0	No evidence available							2020-06-23	MONDO:0007586	
EYA1	2138	8q13.3	chr8:71626530-72027531	3	Sufficient evidence for dosage pathogenicity	30086703	16813606	29552445				0	No evidence available							2020-08-25	MONDO:0007236	
